Organization,County,Program Name,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,Notes,Serves
Family Justice Center,Guilford,Family Justice Center,,8:30 - 4:30 pm,8:30- 4:30 pm,8:30 - 4:30 pm,8:30-4:30 pm,8:30 - 4:30 pm,,,505 E Green St,,HIgh Point,27260,https://www.guilfordcountync.gov/our-county/family-justice-center,(336) 641-2889,"A “one stop shop” for victims of domestic violence, sexual assault, child abuse, and elder abuse. At the Centers, victims can come to one location to access a wide range of supportive resources, such as talking with a victim advocate, getting assistance with filing a restraining order, planning for their safety, talking to a law enforcement officer, meeting with a professional to discuss civil and criminal legal issues, receiving medical assistance, and gaining information on how to access shelter and other community resources.",,
Family Justice Center,Guilford,Family Justice Center,,8:30- 4:30 pm,8:30 - 4:30 pm,8:30 - 4:30 pm,8:30 - 4:30 pm,8:30 - 4:30 pm,,,201 S Green St 2nd floor,,Greensboro,27401,https://www.guilfordcountync.gov/our-county/family-justice-center,(336)641-2339,,,
Family services of the piedmont,,The Families First Center,,,,,,,,,315 E. Washington Street,,Greensboro,27401,fspcares.org,(336) 387-6161,"Domestic Violence, Substance Abuse, Mental Health, and Sexual Assault services, Child Abuse, Healthy Parenting – in home therapy, Incredible Years, Financial Counseling, childen’s advocacy center, emergency shelters",24 hr crisis line GSO 336-273-7273 HP 336-889-7273,
Family services of the piedmont,,The Slane Center,,,,,,,,,1401 Long Street,,High Point ,27262,fspcares.org,(336) 387-6161,,,
Family services of the piedmont,,Fairview Resource Center,,,,,,,,,401 Taylor Ave,,High Point ,27261,fspcares.org,(336)882-8907,,,
Family services of the piedmont,,Administrative offices,,,,,,,,,902 Bonner Drive,,Jamestown,27282,fspcares.org,(336) 387-6161,,,
Greensboro Housing Coalition,,Greensboro Housing Coalition,,,,,,,,,"1031 Summit Avenue, Suite 1E-2",,Greenb,27405,https://www.greensborohousingcoalition.org/,336-691-9521,"Homeless prevention - free housing counseling assistance in locating affordable rental housing or housing with support services for families and individuals in crisis and the chronically homeless. We provide potential resources for other housing needs like utilities. Our trained counselors also work with clients on budgeting and financial literacy in effort to empower them to take control of their financial situations. Greensboro Housing Coalition collaborates with homeless service providers and other stakeholders as part of the Guilford County CoC (Continuum of Care). The (CoC) is a regional/local planning body that coordinates housing and services funding for homeless families and individuals. The role of GHC in the CoC is through housing counseling to work with people we serve on diversion strategies for those that are at imminent risk of becoming homeless. We also work with the Coordinated Assessment/Entry Specialist who attempts to find temporary solutions and/or connects the people to Housing First, Rapid Re-housing or transitional housing programs.  Forclosure prevention - free counseling for homeowners in danger of losing their home to foreclosure. Our HUD certified Housing Counselors meet with clients to determine their individual needs and what programs they may qualify for. We then work with them to find the best fit in an attempt to resolve their housing crisis.  Healthy Homes - provide assistance to residents who live in homes with health and safety hazards through education, referrals, and landlord tenant advocacy. ","Homeless/Rental Housing Counseling will not be taking walk-in clients. Call 336-691-9521 to talk to staff.  Dependent upon needs, housing counseling will be done by phone, email, or snail mail. Leave a message with contact information and reason for calling. Will return call ASAP to talk through situation and set up a phone appointment with a counselor.",
Greensboro Urban Ministry,Guilford,Food Pantry,,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,,,305 W. Gate City Blvd,,Greensboro,27406,https://greensborourbanministry.org/,,,"Note on EVICTIONS: Eviction hearings will be postponed (“continued” in legal language) for 30 days across the state, per orders from Chief Justice.",
,,,,,,,,,,,,,,,,,,,
Greensboro Urban Ministry,Guilford,Potter's House Community Kitchen,,10:30am-12:30pm,,,,,,,306 W. Gate City Blvd,,Greensboro,27406,https://greensborourbanministry.org/,,," Potter’s House Community Kitchen will serve lunch TO-GO only effective Monday, March 16th. We will continue our regular lunch hours of 10:30 am – 12:30 pm. The breakfast meal will also be served to-go starting Wednesday, March 18th.",
