"Organization","County","Program","lastUpdated","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Address1","Address2","City","Zip","website","Phone","Description","Notes","Serves","AddressLine","lon","lat","geoAddress"
"Family Justice Center","Guilford","Family Justice Center",NA,"8:30 - 4:30 pm","8:30- 4:30 pm","8:30 - 4:30 pm","8:30-4:30 pm","8:30 - 4:30 pm","Closed","Closed","505 E Green St",NA,"HIgh Point",27260,"https://www.guilfordcountync.gov/our-county/family-justice-center","(336) 641-2889","A “one stop shop” for victims of domestic violence, sexual assault, child abuse, and elder abuse. At the Centers, victims can come to one location to access a wide range of supportive resources, such as talking with a victim advocate, getting assistance with filing a restraining order, planning for their safety, talking to a law enforcement officer, meeting with a professional to discuss civil and criminal legal issues, receiving medical assistance, and gaining information on how to access shelter and other community resources.",NA,NA,"505 E Green St HIgh Point, NC",-79.9985418,35.9546024,"505 e green dr, high point, nc 27260, usa"
"Family Justice Center","Guilford","Family Justice Center",NA,"8:30- 4:30 pm","8:30 - 4:30 pm","8:30 - 4:30 pm","8:30 - 4:30 pm","8:30 - 4:30 pm","Closed","Closed","201 S Green St 2nd floor",NA,"Greensboro",27401,"https://www.guilfordcountync.gov/our-county/family-justice-center","(336)641-2339",NA,NA,NA,"201 S Green St 2nd floor Greensboro, NC",-79.7911528,36.0712427,"201 s greene st 2nd floor, greensboro, nc 27401, usa"
"Family services of the piedmont","Guilford","The Families First Center",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","315 E. Washington Street",NA,"Greensboro",27401,"fspcares.org","(336) 387-6161","Domestic Violence, Substance Abuse, Mental Health, and Sexual Assault services, Child Abuse, Healthy Parenting – in home therapy, Incredible Years, Financial Counseling, childen’s advocacy center, emergency shelters","24 hr crisis line GSO 336-273-7273 HP 336-889-7273",NA,"315 E. Washington Street Greensboro, NC",-79.7855386,36.0702241,"315 e washington st, greensboro, nc 27401, usa"
"Family services of the piedmont","Guilford","The Slane Center",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","1401 Long Street",NA,"High Point",27262,"fspcares.org","(336) 387-6161",NA,NA,NA,"1401 Long Street High Point, NC",-80.0205175,35.9751739,"1401 long st, high point, nc 27262, usa"
"Family services of the piedmont","Guilford","Fairview Resource Center",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","401 Taylor Ave",NA,"High Point",27261,"fspcares.org","(336)882-8907",NA,NA,NA,"401 Taylor Ave High Point, NC",-80.0085999,35.9477673,"401 taylor ave, high point, nc 27260, usa"
"Family services of the piedmont","Guilford","Administrative offices",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","902 Bonner Drive",NA,"Jamestown",27282,"fspcares.org","(336) 387-6161",NA,NA,NA,"902 Bonner Drive Jamestown, NC",-79.9218,35.9960372,"902 bonner dr, jamestown, nc 27282, usa"
"Greensboro Housing Coalition","Guilford","Greensboro Housing Coalition",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","1031 Summit Avenue, Suite 1E-2",NA,"Greenb",27405,"https://www.greensborohousingcoalition.org/","336-691-9521","Homeless prevention - free housing counseling assistance in locating affordable rental housing or housing with support services for families and individuals in crisis and the chronically homeless. We provide potential resources for other housing needs like utilities. Our trained counselors also work with clients on budgeting and financial literacy in effort to empower them to take control of their financial situations. Greensboro Housing Coalition collaborates with homeless service providers and other stakeholders as part of the Guilford County CoC (Continuum of Care). The (CoC) is a regional/local planning body that coordinates housing and services funding for homeless families and individuals. The role of GHC in the CoC is through housing counseling to work with people we serve on diversion strategies for those that are at imminent risk of becoming homeless. We also work with the Coordinated Assessment/Entry Specialist who attempts to find temporary solutions and/or connects the people to Housing First, Rapid Re-housing or transitional housing programs.  Forclosure prevention - free counseling for homeowners in danger of losing their home to foreclosure. Our HUD certified Housing Counselors meet with clients to determine their individual needs and what programs they may qualify for. We then work with them to find the best fit in an attempt to resolve their housing crisis.  Healthy Homes - provide assistance to residents who live in homes with health and safety hazards through education, referrals, and landlord tenant advocacy.","Homeless/Rental Housing Counseling will not be taking walk-in clients. Call 336-691-9521 to talk to staff.  Dependent upon needs, housing counseling will be done by phone, email, or snail mail. Leave a message with contact information and reason for calling. Will return call ASAP to talk through situation and set up a phone appointment with a counselor.",NA,"1031 Summit Avenue, Suite 1E-2 Greenb, NC",-79.7762675,36.0870235,"1031 summit ave suite 1e-2, greensboro, nc 27405, usa"
"Greensboro Urban Ministry","Guilford","Food Pantry",NA,"9:30am - 3:30pm","9:30am - 3:30pm","9:30am - 3:30pm","9:30am - 3:30pm","9:30am - 3:30pm","Closed","Closed","305 W. Gate City Blvd",NA,"Greensboro",27406,"https://greensborourbanministry.org/",NA,NA,"Note on EVICTIONS: Eviction hearings will be postponed (“continued” in legal language) for 30 days across the state, per orders from Chief Justice.",NA,"305 W. Gate City Blvd Greensboro, NC",-79.7943626,36.0640226,"305 w gate city blvd, greensboro, nc 27406, usa"
"Greensboro Urban Ministry","Guilford","Potter's House Community Kitchen",NA,"10:30am-12:30pm","Closed","Closed","Closed","Closed","Closed","Closed","306 W. Gate City Blvd",NA,"Greensboro",27406,"https://greensborourbanministry.org/",NA,NA,"Potter’s House Community Kitchen will serve lunch TO-GO only effective Monday, March 16th. We will continue our regular lunch hours of 10:30 am – 12:30 pm. The breakfast meal will also be served to-go starting Wednesday, March 18th.",NA,"306 W. Gate City Blvd Greensboro, NC",-79.7943059,36.0651183,"306 w gate city blvd, greensboro, nc 27406, usa"
"High Point Food Alliance","Guilford","High Point Food Alliance",NA,"Closed","Closed","Closed","Closed","Closed","Closed","Closed","815 Phillips Avenue",NA,"High Point",NA,"https://findfood.ghpfa.org/",NA,"Resources for finding food",NA,NA,"815 Phillips Avenue High Point, NC",-80.0289092,35.9510244,"815 phillips ave, high point, nc 27262, usa"
"Interactive Resource Center","Guilford","Interactive Resource Center",NA,"8:00-3:00 pm","8:00-3:00 pm","8:00-3:00 pm","8:00-3:00 pm","8:00-3:00 pm","Closed","Closed","407 E Washington Street",NA,"Greensboro",27240,"http://interactiveresourcecenter.org/","336-332-0824","Case management, Medical Clinic, Mental Health Nurse, Referrals, and PATH street outreach. They offer showers, hygiene supplies, laundry, replacement ID's, phone access, mailing address, on site barber shop, storage lockers, white flag warming center, classes for, resume and job application assistance, GED classes, interview training, professional clothing vouchers, financial literacy",NA,NA,"407 E Washington Street Greensboro, NC",-79.7842291,36.0703791,"407 e washington st, greensboro, nc 27401, usa"
"Out of the Garden Project","Guilford","Hot Meals and Food Pantry",NA,"11:00am-12:00pm","Closed","11:00am-12:00pm","Closed","11:00am-12:00pm","Closed","Closed","1806 Merrit Drive",NA,"Greensboro",27407,"https://outofthegardenproject.org/",NA,"PATH Street Outreach","Hot meals Monday Wednesday and Fridays from 11am to noon for families with school age children at Daystar Community Center 1806 Merritt Drive. You will receive some shelf stable items as well. (3/17)",NA,"1806 Merrit Drive Greensboro, NC",-79.8567503,36.0489888,"1806 merritt dr, greensboro, nc 27407, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Alderman Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","4211 Chateau Drive",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,"Medical clinic","Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"4211 Chateau Drive Greensboro, NC",-79.8679836,36.0402338,"4211 chateau dr, greensboro, nc 27407, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Allen Jay Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1201 E. Fairfield Road",NA,"High Point",NA,"https://www.gcsnc.com/",NA,"Mental health nurse","Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1201 E. Fairfield Road High Point, NC",-79.9619333,35.9253078,"1201 e fairfield rd, high point, nc 27263, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Archer Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2610 Four Seasons Blvd.",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,"Referrals","Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2610 Four Seasons Blvd. Greensboro, NC",-79.830431,36.031075,"2610 four seasons blvd, greensboro, nc 27407, usa"
